,0,1
374,12/7/14 12:25:01 PM,97.731
375,12/7/14 12:55:01 PM,96.766
376,12/7/14 1:25:01 PM,97.008
377,12/7/14 1:55:01 PM,96.645
378,12/7/14 2:25:01 PM,96.645
379,12/7/14 2:55:01 PM,95.917
380,12/7/14 3:25:01 PM,97.37
381,12/7/14 3:55:01 PM,96.887
382,12/7/14 4:25:01 PM,97.249
383,12/7/14 4:55:01 PM,97.008
384,12/7/14 5:25:01 PM,97.49
385,12/7/14 5:55:01 PM,97.37
386,12/7/14 6:25:01 PM,96.645
387,12/7/14 6:55:01 PM,96.766
388,12/7/14 7:25:01 PM,97.611
389,12/7/14 7:55:01 PM,98.091
390,12/7/14 8:25:01 PM,97.49
391,12/7/14 8:55:01 PM,97.971
392,12/7/14 9:25:01 PM,98.211
393,12/7/14 9:55:01 PM,97.611
394,12/7/14 10:25:01 PM,98.33
395,12/7/14 10:55:01 PM,96.887
396,12/7/14 11:25:01 PM,96.766
397,12/7/14 11:55:01 PM,98.808
398,12/8/14 12:25:01 AM,98.45
399,12/8/14 12:55:01 AM,99.403
400,12/8/14 1:25:01 AM,98.211
401,12/8/14 1:55:01 AM,98.45
402,12/8/14 2:25:01 AM,98.211
403,12/8/14 2:55:01 AM,98.211
404,12/8/14 3:25:01 AM,97.611
405,12/8/14 3:55:01 AM,97.971
406,12/8/14 4:25:01 AM,98.211
407,12/8/14 4:55:01 AM,98.45
408,12/8/14 5:25:01 AM,98.569
409,12/8/14 5:55:01 AM,98.808
410,12/8/14 6:25:01 AM,98.569
411,12/8/14 6:55:01 AM,99.165
412,12/8/14 7:25:01 AM,98.45
413,12/8/14 7:55:01 AM,98.689
414,12/8/14 8:25:01 AM,98.33
415,12/8/14 8:55:01 AM,99.165
416,12/8/14 9:25:01 AM,98.808
417,12/8/14 9:55:01 AM,99.046
418,12/8/14 10:25:01 AM,98.927
419,12/8/14 10:55:01 AM,98.689
420,12/8/14 11:25:01 AM,99.403
421,12/8/14 11:55:01 AM,98.33
422,12/8/14 12:25:01 PM,98.927
423,12/8/14 12:55:01 PM,98.569
424,12/8/14 1:25:01 PM,98.927
425,12/8/14 1:55:01 PM,98.689
426,12/8/14 2:25:01 PM,99.284
427,12/8/14 2:55:01 PM,98.091
428,12/8/14 3:25:01 PM,99.046
429,12/8/14 3:55:01 PM,98.927
430,12/8/14 4:25:01 PM,98.569
431,12/8/14 4:55:01 PM,98.808
432,12/8/14 5:25:01 PM,98.927
433,12/8/14 5:55:01 PM,98.45
434,12/8/14 6:25:01 PM,99.165
435,12/8/14 6:55:01 PM,98.45
436,12/8/14 7:25:01 PM,97.731
437,12/8/14 7:55:01 PM,99.403
438,12/8/14 8:25:01 PM,99.759
439,12/8/14 8:55:01 PM,98.569
440,12/8/14 9:25:01 PM,98.569
441,12/8/14 9:55:01 PM,99.046
442,12/8/14 10:25:01 PM,98.689
443,12/8/14 10:55:01 PM,99.165
444,12/8/14 11:25:01 PM,98.808
445,12/8/14 11:55:01 PM,99.284
446,12/9/14 12:25:01 AM,97.851
447,12/9/14 12:55:01 AM,99.522
448,12/9/14 1:25:01 AM,98.569
449,12/9/14 1:55:01 AM,98.927
450,12/9/14 2:25:01 AM,99.996
451,12/9/14 2:55:01 AM,99.284
452,12/9/14 3:25:01 AM,98.927
453,12/9/14 3:55:01 AM,99.284
454,12/9/14 4:25:01 AM,99.522
455,12/9/14 4:55:01 AM,99.522
456,12/9/14 5:25:01 AM,99.165
457,12/9/14 5:55:01 AM,99.64
458,12/9/14 6:25:01 AM,99.759
459,12/9/14 6:55:01 AM,99.522
460,12/9/14 7:25:01 AM,99.165
461,12/9/14 7:55:01 AM,99.284
462,12/9/14 8:25:01 AM,99.403
463,12/9/14 8:55:01 AM,99.64
464,12/9/14 9:25:01 AM,99.522
465,12/9/14 9:55:01 AM,99.284
466,12/9/14 10:25:01 AM,99.64
467,12/9/14 10:55:01 AM,99.522
468,12/9/14 11:25:01 AM,99.64
469,12/9/14 11:55:01 AM,99.64
470,12/9/14 12:25:01 PM,99.64
471,12/9/14 12:55:01 PM,99.522
472,12/9/14 1:25:01 PM,99.046
473,12/9/14 1:55:01 PM,99.403
474,12/9/14 2:25:01 PM,99.522
475,12/9/14 2:55:01 PM,99.284
476,12/9/14 3:25:01 PM,99.522
477,12/9/14 3:55:01 PM,99.64
478,12/9/14 4:25:01 PM,99.759
479,12/9/14 4:55:01 PM,99.759
480,12/9/14 5:25:01 PM,99.403
481,12/9/14 5:55:01 PM,99.284
482,12/9/14 6:25:01 PM,99.403
483,12/9/14 6:55:01 PM,99.522
484,12/9/14 7:25:01 PM,99.996
